"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","1 Cool Temperate - Arid Predominantly Closed","aCTemp",14.4021165678708,"EN","PP","EN_PP","est"
"2","1 Cool Temperate - Estuarine Lagoon","aCTemp",60.0688314211718,"EN","MP","EN_MP","est"
"3","1 Cool Temperate - Estuarine Lake","aCTemp",70.9307671719994,"EN","PP","EN_PP","est"
"4","1 Cool Temperate - Large Fluvially Dominated","aCTemp",30.1905846029966,"EN","PP","EN_PP","est"
"5","1 Cool Temperate - Large Temporarily Closed","aCTemp",32.8391200959501,"EN","PP","EN_PP","est"
"6","1 Cool Temperate - Predominantly Open","aCTemp",152.598212237101,"EN","NP","EN_NP","est"
"7","1 Cool Temperate - Small Fluvially Dominated","aCTemp",0.0395655144470274,"VU","WP","VU_WP","est"
"8","1 Cool Temperate - Small Temporarily Closed","aCTemp",5.17640367488375,"VU","MP","VU_MP","est"
"9","2 Warm Temperate - Estuarine Bay","bWTemp",30.1056471283708,"VU","MP","VU_MP","est"
"10","2 Warm Temperate - Estuarine Lake","bWTemp",143.423569509232,"EN","MP","EN_MP","est"
"11","2 Warm Temperate - Large Fluvially Dominated","bWTemp",5.72582112925239,"VU","NP","VU_NP","est"
"12","2 Warm Temperate - Large Temporarily Closed","bWTemp",69.2596673221285,"VU","PP","VU_PP","est"
"13","2 Warm Temperate - Predominantly Open","bWTemp",176.69248293924,"VU","PP","VU_PP","est"
"14","2 Warm Temperate - Small Fluvially Dominated","bWTemp",1.22435829857325,"LC","WP","LC_WP","est"
"15","2 Warm Temperate - Small Temporarily Closed","bWTemp",16.1027211742301,"LC","MP","LC_MP","est"
"16","3 Subtropical - Estuarine Bay","cSubTrop",28.1520198774511,"CR","NP","CR_NP","est"
"17","3 Subtropical - Estuarine Lake","cSubTrop",818.752767461073,"EN","MP","EN_MP","est"
"18","3 Subtropical - Large Fluvially Dominated","cSubTrop",107.658288479826,"EN","PP","EN_PP","est"
"19","3 Subtropical - Large Temporarily Closed","cSubTrop",50.5120897559682,"VU","PP","VU_PP","est"
"20","3 Subtropical - Predominantly Open","cSubTrop",78.4991420166852,"VU","PP","VU_PP","est"
"21","3 Subtropical - Small Temporarily Closed","cSubTrop",20.4839036645557,"VU","MP","VU_MP","est"
"22","4 Tropical - Estuarine Lake","dTropical",81.6629477243529,"VU","MP","VU_MP","est"
