Realm,Sub-realm,WP,MP,PP,NP,Total
Coastal Terrestrial,Total,4678.1876,4101.2552000000005,13503.851999999999,3838.8356,26122.1304
Coastal Terrestrial,Semi-coastal vegetation,3224.79,1980.7468000000001,4155.1912,772.3772,10133.1052
Coastal Terrestrial,Coastal vegetation,1453.3976,2120.5084,9348.6608,3066.4584,15989.0252
Estuarine,Total,1.2639238130202775,1175.7767917578701,630.9842589526648,186.47605324380447,1994.5010277673598
Coastal Marine,Total,544.6645298367936,10468.474766701145,24408.393517681554,15611.325741625622,51032.858555845116
Coastal Marine,Shore,187.76386934731474,405.3176333693481,400.1015729689684,2.187057391797645,995.3701330774288
Coastal Marine,Inner shelf and river influenced,356.9006604894788,10063.157133331797,24008.291944712586,15609.138684233825,50037.48842276769
Coastal (overall),Total,5224.116053649814,15745.506758459016,38543.229776634216,19636.637394869427,79149.48998361247
Non-coastal,Total,133904.336692211,216171.78939589398,1371560.5083981112,1096616.8135493596,2818253.448035576
