Realm,Sub-realm,Thr,CR,EN,VU,NT,LC,Total
Coastal Terrestrial,Total,12798.0428,3460.4276,8696.5248,641.0904,0,13324.087599999999,26122.1304
Coastal Terrestrial,Semi-coastal vegetation,6392.5271999999995,1800.664,4591.8632,0,0,3740.578,10133.1052
Coastal Terrestrial,Coastal vegetation,6405.515600000001,1659.7636,4104.6616,641.0904,0,9583.5096,15989.0252
Estuarine,Total,1977.173948294556,28.1520198774511,1430.8642575472206,518.1576708698844,0,17.32707947280335,1994.5010277673596
Coastal Marine,Total,22009.405155989134,2831.702410872688,10591.75417152579,8585.948573590655,868.1810844406602,28155.27231541532,51032.858555845116
Coastal Marine,Shore,373.37462709979525,0,167.82260119522044,205.55202590457483,341.98043388310515,280.01507209452836,995.3701330774288
Coastal Marine,Inner shelf and river influenced,21636.030528889336,2831.702410872688,10423.93157033057,8380.39654768608,526.200650557555,27875.257243320793,50037.48842276768
Coastal (overall),Total,36784.62190428369,6320.282030750139,20719.14322907301,9745.196644460539,868.1810844406602,41496.68699488812,79149.48998361247
Non-coastal,Total,161810.75926216904,7878.78668441316,68544.013448989,85387.95912876689,42363.01303801499,2614079.6757353917,2818253.448035576
