"zone","Well Protected","Moderately Protected","Poorly Protected","Not Protected","metric"
"Cool Temperate",1,9,20,3,"estuary_count"
"Subtropical",0,64,66,1,"estuary_count"
"Tropical",0,2,0,0,"estuary_count"
"Warm Temperate",6,52,65,1,"estuary_count"
"Cool Temperate",1,2,4,1,"count"
"Subtropical",0,2,3,1,"count"
"Tropical",0,1,0,0,"count"
"Warm Temperate",1,3,2,1,"count"
"Cool Temperate",0.039565514447,65.24523509608,148.3625884389,152.598212237,"extent"
"Subtropical",0,839.2366711256,236.6695202527,28.1520198775,"extent"
"Tropical",0,81.6629477244,0,0,"extent"
"Warm Temperate",1.22435829857,189.6319378116,245.9521502611,5.72582112925,"extent"
"Cool Temperate",0.0108030005843148,17.8146126170275,40.5090430896046,41.6655412927837,"perc"
"Subtropical",0,76.0138063889782,21.4363262588757,2.54986735214611,"perc"
"Tropical",0,100,0,0,"perc"
"Warm Temperate",0.276669715429113,42.8513567734904,55.5781028326379,1.29387067844261,"perc"
