"zone","Well Protected","Moderately Protected","Poorly Protected","Not Protected","Total","metric"
"Depression",5,2,12,3,22,"count"
"Floodplain",2,1,10,6,19,"count"
"Seep",2,4,8,7,21,"count"
"Unchannelled valley-bottom",0,3,11,6,20,"count"
"Total count",9,10,41,22,82,"count"
"Depression",277.103242131,115.06074122,5547.703746014,1713.528865241,7653.396594606,"extent"
"Floodplain",928.4677885,560.1942139,10315.63005454,1913.906153861,13718.198210801,"extent"
"Seep",202.907770735,423.05438828,2393.019858485,1934.855010407,4953.837027907,"extent"
"Unchannelled valley-bottom",0,785.60353761,2338.486606821,457.298376817,3581.388521248,"extent"
"Total extent",1408.478801366,1883.91288101,20594.84026586,6019.588406326,29906.820354562,"extent"
